"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-04,2026-06-04,"Existing Posts",active,50,Daily,79.25,4738,4772,1.007176,268,5.616094,0.295709,16.607293,262,37,0.14122137,2.14189189
2026-06-03,2026-06-03,"[Parents + Cooking] Creative Test",inactive,50,Daily,41.37,19122,20571,1.075777,12,0.058335,3.4475,2.011084,4,0,0,
2026-06-03,2026-06-03,"Target Evergreen Campaign",active,50,Daily,65.78,31514,33033,1.048201,39,0.118064,1.686667,1.991342,4,0,0,
2026-06-03,2026-06-03,"Whole Foods Evergreen Campaign",active,50,Daily,54.01,24762,26235,1.059486,19,0.072422,2.842632,2.0587,2,0,0,
2026-06-03,2026-06-03,"Audience Test (Parents + Cooking)",active,50,Daily,48.25,22745,22745,1,17,0.074742,2.838235,2.121345,0,0,,
2026-06-03,2026-06-03,"Existing Posts",active,50,Daily,78.93,3350,3530,1.053731,190,5.382436,0.415421,22.359773,174,39,0.22413793,2.02384615
2026-06-02,2026-06-02,"[Parents + Cooking] Creative Test",inactive,50,Daily,42.63,25932,26867,1.036056,38,0.141437,1.121842,1.586705,6,0,0,
2026-06-02,2026-06-02,"Target Evergreen Campaign",active,50,Daily,105,111205,113033,1.016438,279,0.246831,0.376344,0.928932,18,0,0,
2026-06-02,2026-06-02,"Whole Foods Evergreen Campaign",active,50,Daily,105,112911,116821,1.034629,259,0.221707,0.405405,0.898811,25,0,0,
2026-06-02,2026-06-02,"Audience Test (Parents + Cooking)",active,50,Daily,54.15,24019,25496,1.061493,22,0.086288,2.461364,2.123863,4,0,0,
2026-06-02,2026-06-02,"May Target Launch",inactive,50,Daily,5.22,2958,2960,1.000676,1,0.033784,5.22,1.763514,0,0,,
2026-06-02,2026-06-02,"Existing Posts",active,50,Daily,52.74,2651,2863,1.07997,164,5.728257,0.321585,18.421236,133,20,0.15037594,2.637
2026-06-01,2026-06-01,"[Parents + Cooking] Creative Test",inactive,50,Daily,13.17,10565,10804,1.022622,11,0.101814,1.197273,1.218993,0,0,,
2026-06-01,2026-06-01,"Target Evergreen Campaign",active,50,Daily,52.15,42311,42311,1,107,0.252889,0.487383,1.23254,34,0,0,
2026-06-01,2026-06-01,"Whole Foods Evergreen Campaign",active,50,Daily,105,106061,108007,1.018348,231,0.213875,0.454545,0.972159,13,0,0,
2026-06-01,2026-06-01,"Audience Test (Parents + Cooking)",active,50,Daily,46.13,21049,22876,1.086797,7,0.0306,6.59,2.016524,2,0,0,
2026-06-01,2026-06-01,"May Target Launch",inactive,50,Daily,32.03,18433,19006,1.031086,25,0.131537,1.2812,1.685257,0,0,,
2026-06-01,2026-06-01,"Existing Posts",active,50,Daily,60.33,4325,4467,1.032832,213,4.768301,0.283239,13.505709,192,45,0.234375,1.34066667
